year,state,Pincode,type,count,amount
2022,andaman-&-nicobar-islands,744211,TOTAL,40245,108788594.62847154
2022,andaman-&-nicobar-islands,744107,TOTAL,36402,82851064.58195859
2022,andaman-&-nicobar-islands,744112,TOTAL,32548,70178309.12885833
2022,andaman-&-nicobar-islands,744202,TOTAL,27750,84587978.8405464
2022,andaman-&-nicobar-islands,744301,TOTAL,26170,74485462.68044695
2022,andaman-&-nicobar-islands,744104,TOTAL,497273,951370315.4090765
2022,andaman-&-nicobar-islands,744103,TOTAL,259994,545653686.3062732
2022,andaman-&-nicobar-islands,744101,TOTAL,213864,444967255.802143
2022,andaman-&-nicobar-islands,744105,TOTAL,208055,438754611.5375265
2022,andaman-&-nicobar-islands,744102,TOTAL,114416,239581586.790242
2022,andaman-&-nicobar-islands,744107,TOTAL,40466,85492008.49477127
2022,andaman-&-nicobar-islands,744112,TOTAL,38350,74030563.48358011
2022,andaman-&-nicobar-islands,744211,TOTAL,37918,89671382.06901146
2022,andaman-&-nicobar-islands,744202,TOTAL,29918,85509005.84576747
2022,andaman-&-nicobar-islands,744301,TOTAL,27668,70002553.35288173
2022,andaman-&-nicobar-islands,744104,TOTAL,684366,1309407988.2902
2022,andaman-&-nicobar-islands,744103,TOTAL,304600,612929267.1773143
2022,andaman-&-nicobar-islands,744105,TOTAL,258097,505662756.1128938
2022,andaman-&-nicobar-islands,744101,TOTAL,243494,467192496.17391205
2022,andaman-&-nicobar-islands,744102,TOTAL,134923,264371699.73904055
2022,andaman-&-nicobar-islands,744211,TOTAL,56491,137253267.66612908
2022,andaman-&-nicobar-islands,744107,TOTAL,54192,104539818.47127225
2022,andaman-&-nicobar-islands,744112,TOTAL,46364,82461782.47749998
2022,andaman-&-nicobar-islands,744202,TOTAL,34689,94217164.85909571
2022,andaman-&-nicobar-islands,744301,TOTAL,33669,82466591.07632071
2023,andaman-&-nicobar-islands,744103,TOTAL,503053,969594706.0
2023,andaman-&-nicobar-islands,744105,TOTAL,418090,774570559.0
2023,andaman-&-nicobar-islands,744101,TOTAL,403456,749508057.0
2023,andaman-&-nicobar-islands,744102,TOTAL,222855,427240840.0
2023,andaman-&-nicobar-islands,744104,TOTAL,118286,201531285.0
2023,andaman-&-nicobar-islands,744211,TOTAL,107424,263885620.0
2023,andaman-&-nicobar-islands,744107,TOTAL,92715,168098531.0
2023,andaman-&-nicobar-islands,744112,TOTAL,76246,131598911.0
2023,andaman-&-nicobar-islands,744202,TOTAL,59440,165959850.0
2023,andaman-&-nicobar-islands,744301,TOTAL,55605,111713635.0
2023,andaman-&-nicobar-islands,744103,TOTAL,597774,1119274409.0
2023,andaman-&-nicobar-islands,744105,TOTAL,507585,916209552.0
2023,andaman-&-nicobar-islands,744101,TOTAL,486154,824857096.0
2023,andaman-&-nicobar-islands,744102,TOTAL,269165,458977445.0
2023,andaman-&-nicobar-islands,744104,TOTAL,134785,205244167.0
2023,andaman-&-nicobar-islands,744107,TOTAL,114795,194986633.0
2023,andaman-&-nicobar-islands,744211,TOTAL,106510,222510323.0
2023,andaman-&-nicobar-islands,744112,TOTAL,89784,147571191.0
2023,andaman-&-nicobar-islands,744202,TOTAL,72315,211302035.0
2023,andaman-&-nicobar-islands,744301,TOTAL,63841,134197959.0
2018,andhra-pradesh,517501,TOTAL,110496,163487278.84449506
2018,andhra-pradesh,520001,TOTAL,96883,170605900.5466873
2018,andhra-pradesh,515001,TOTAL,92754,133522310.75704184
2018,andhra-pradesh,517507,TOTAL,88132,127450018.2101582
2018,andhra-pradesh,516001,TOTAL,84644,131194265.5243713
2018,andhra-pradesh,518502,TOTAL,82421,68040306.13881023
2018,andhra-pradesh,530016,TOTAL,81891,140880970.0990568
2018,andhra-pradesh,520010,TOTAL,69581,119009921.97401813
2018,andhra-pradesh,516360,TOTAL,68340,101612118.88480642
2018,andhra-pradesh,518501,TOTAL,68193,81006512.71677604
2018,andhra-pradesh,517501,TOTAL,165506,305629373.15863353
2018,andhra-pradesh,518502,TOTAL,140893,127814123.87394845
2018,andhra-pradesh,515001,TOTAL,129798,285924993.6163615
2018,andhra-pradesh,517507,TOTAL,127731,243405277.90481398
2018,andhra-pradesh,520001,TOTAL,123176,271911611.0495833
2018,andhra-pradesh,516001,TOTAL,114806,242175477.6115077
2018,andhra-pradesh,530016,TOTAL,111874,235770318.03054443
2018,andhra-pradesh,520010,TOTAL,100630,220730389.6490364
2018,andhra-pradesh,516360,TOTAL,96619,197068813.60447282
2018,andhra-pradesh,518501,TOTAL,93442,163942778.22947574
2018,andhra-pradesh,518502,TOTAL,1300146,709765829.9649723
2018,andhra-pradesh,533437,TOTAL,421968,240766495.05853492
2018,andhra-pradesh,518501,TOTAL,296154,291247918.8462258
2018,andhra-pradesh,517501,TOTAL,295403,466133618.6014985
2018,andhra-pradesh,515001,TOTAL,276595,438158383.2247275
2018,andhra-pradesh,530016,TOTAL,234494,380410223.19526947
2018,andhra-pradesh,517507,TOTAL,233347,386563858.6898683
2018,andhra-pradesh,516259,TOTAL,220165,109844218.671292
2018,andhra-pradesh,520011,TOTAL,213275,291805923.00111276
